Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Original Price,Quantity,Discount,Discount Amount,Sales,Profit,Average sales
1,CA-2013-152156,11/9/2013,11/12/2013,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,$130.98,2,0,$0.00,$261.96,$41.91,$130.98
3,CA-2013-138688,6/13/2013,6/17/2013,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,$7.31,2,0,$0.00,$14.62,$6.87,$7.31
4,US-2012-108966,10/11/2012,10/18/2012,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,$348.21,5,0.45,$156.69,$957.58,-$383.03,$191.52
6,CA-2011-115812,6/9/2011,6/14/2011,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",$6.98,7,0,$0.00,$48.86,$14.17,$6.98
13,CA-2014-114412,4/16/2014,4/21/2014,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,$6.48,3,0.2,$1.30,$15.55,$5.44,$5.18
14,CA-2013-161389,12/6/2013,12/11/2013,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,$169.99,3,0.2,$34.00,$407.98,$132.59,$135.99
15,US-2012-118983,11/22/2012,11/26/2012,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",$68.81,5,0.8,$55.05,$68.81,-$123.86,$13.76
17,CA-2011-105893,11/11/2011,11/18/2011,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",$110.98,6,0,$0.00,$665.88,$13.32,$110.98
18,CA-2011-167164,5/13/2011,5/15/2011,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,$27.75,2,0,$0.00,$55.50,$9.99,$27.75
19,CA-2011-143336,8/27/2011,9/1/2011,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,$4.28,2,0,$0.00,$8.56,$2.48,$4.28
22,CA-2013-137330,12/10/2013,12/14/2013,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,$2.78,7,0,$0.00,$19.46,$5.06,$2.78
24,US-2014-156909,7/17/2014,7/19/2014,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",$50.98,2,0.3,$15.29,$71.37,-$1.02,$35.69
25,CA-2012-106320,9/25/2012,9/30/2012,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,$348.21,3,0,$0.00,"$1,044.63",$240.26,$348.21
26,CA-2013-121755,1/16/2013,1/20/2013,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,$7.28,2,0.2,$1.46,$11.65,$4.22,$5.82
28,US-2012-150630,9/17/2012,9/21/2012,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",$880.98,7,0.5,$440.49,"$3,083.43","-$1,665.05",$440.49
35,CA-2014-107727,10/20/2014,10/24/2014,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Staples,$12.28,3,0.2,$2.46,$29.47,$9.95,$9.82
36,CA-2013-117590,12/9/2013,12/11/2013,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,$195.99,7,0.2,$39.20,"$1,097.54",$123.47,$156.79
38,CA-2012-117415,12/27/2012,12/31/2012,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",$15.74,9,0.2,$3.15,$113.33,$35.42,$12.59
42,CA-2014-120999,9/11/2014,9/16/2014,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,$45.99,4,0.2,$9.20,$147.17,$16.56,$36.79
43,CA-2013-101343,7/18/2013,7/23/2013,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",$38.94,2,0,$0.00,$77.88,$3.89,$38.94
44,CA-2014-139619,9/20/2014,9/24/2014,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",$59.76,2,0.2,$11.95,$95.62,$9.56,$47.81
45,CA-2013-118255,3/12/2013,3/14/2013,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",$22.99,2,0,$0.00,$45.98,$19.77,$22.99
47,CA-2011-146703,10/20/2011,10/25/2011,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",$52.99,4,0,$0.00,$211.96,$8.48,$52.99
48,CA-2013-169194,6/21/2013,6/26/2013,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$15.00,3,0,$0.00,$45.00,$4.95,$15.00
50,CA-2012-115742,4/18/2012,4/22/2012,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",$6.37,6,0,$0.00,$38.22,$17.96,$6.37
54,CA-2013-105816,12/12/2013,12/18/2013,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,$2.18,7,0,$0.00,$15.26,$6.26,$2.18
56,CA-2013-111682,6/18/2013,6/19/2013,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,$34.76,6,0,$0.00,$208.56,$52.14,$34.76
63,CA-2012-135545,11/24/2012,11/30/2012,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",$6.99,2,0,$0.00,$13.98,$6.15,$6.99
67,US-2012-164175,4/30/2012,5/5/2012,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",$60.89,5,0.3,$18.27,$213.12,-$15.22,$42.62
68,CA-2011-106376,12/5/2011,12/10/2011,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",$173.91,8,0.2,$34.78,"$1,113.02",$111.30,$139.13
70,CA-2013-119823,6/5/2013,6/7/2013,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",$37.94,2,0,$0.00,$75.88,$35.66,$37.94
71,CA-2013-106075,9/19/2013,9/24/2013,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,$5.77,1,0.2,$1.15,$4.62,$1.73,$4.62
72,CA-2014-114440,9/15/2014,9/18/2014,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",$6.35,3,0,$0.00,$19.05,$8.76,$6.35
73,US-2012-134026,4/26/2012,5/2/2012,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,$129.99,8,0.2,$26.00,$831.94,-$114.39,$103.99
76,US-2014-118038,12/10/2014,12/12/2014,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,$2.08,3,0.8,$1.66,$1.25,-$1.93,$0.42
79,US-2011-147606,11/26/2011,12/1/2011,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",$9.65,5,0.6,$5.79,$19.30,-$14.48,$3.86
80,CA-2013-127208,6/13/2013,6/16/2013,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",$208.16,1,0,$0.00,$208.16,$56.20,$208.16
82,CA-2011-139451,10/12/2011,10/16/2011,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",$2.98,5,0,$0.00,$14.90,$4.17,$2.98
84,CA-2012-149734,9/3/2012,9/8/2012,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,$35.89,7,0.2,$7.18,$200.98,$62.81,$28.71
85,US-2014-119662,11/14/2014,11/17/2014,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,$95.99,3,0.2,$19.20,$230.38,-$48.95,$76.79
86,CA-2014-140088,5/29/2014,5/31/2014,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,$150.98,2,0,$0.00,$301.96,$33.22,$150.98
87,CA-2014-155558,10/27/2014,11/3/2014,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,$19.99,1,0,$0.00,$19.99,$6.80,$19.99
89,CA-2013-159695,4/6/2013,4/11/2013,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,$28.28,7,0.2,$5.66,$158.37,$13.86,$22.62
90,CA-2013-109806,9/18/2013,9/23/2013,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,$6.70,3,0,$0.00,$20.10,$6.63,$6.70
93,CA-2012-149587,1/31/2012,2/5/2012,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,$6.48,2,0,$0.00,$12.96,$6.22,$6.48
96,US-2014-109484,11/7/2014,11/13/2014,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,$18.94,1,0.7,$13.26,$5.68,-$3.79,$5.68
97,CA-2014-161018,11/10/2014,11/12/2014,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,10009,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,$13.79,7,0,$0.00,$96.53,$40.54,$13.79
98,CA-2014-157833,6/18/2014,6/21/2014,First Class,KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,94122,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,$21.38,3,0.2,$4.28,$51.31,$17.96,$17.10
99,CA-2013-149223,9/7/2013,9/12/2013,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,$12.98,6,0,$0.00,$77.88,$22.59,$12.98
100,CA-2013-158568,8/30/2013,9/3/2013,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,$11.54,7,0.2,$2.31,$64.62,$22.62,$9.23
103,CA-2013-129903,12/2/2013,12/5/2013,Second Class,GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),$5.98,4,0,$0.00,$23.92,$11.72,$5.98
104,US-2012-156867,11/13/2012,11/17/2012,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,$49.77,6,0.2,$9.95,$238.90,-$26.88,$39.82
107,CA-2014-119004,11/24/2014,11/29/2014,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,$11.58,8,0.2,$2.32,$74.11,$17.60,$9.26
110,CA-2012-129476,10/15/2012,10/20/2012,Standard Class,PA-19060,Pete Armstrong,Home Office,United States,Orland Park,Illinois,60462,Central,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,$84.99,5,0.2,$17.00,$339.96,$67.99,$67.99
111,CA-2014-146780,12/26/2014,12/31/2014,Standard Class,CV-12805,Cynthia Voltz,Corporate,United States,New York City,New York,10035,East,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,$20.98,2,0,$0.00,$41.96,$10.91,$20.98
112,CA-2013-128867,11/4/2013,11/11/2013,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",$37.98,2,0,$0.00,$75.96,$22.79,$37.98
114,CA-2011-115259,8/25/2011,8/27/2011,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",$3.58,14,0.2,$0.72,$40.10,$14.53,$2.86
118,CA-2012-110457,3/2/2012,3/6/2012,Standard Class,DK-13090,Dave Kipp,Consumer,United States,Seattle,Washington,98103,West,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,$262.51,3,0,$0.00,$787.53,$165.38,$262.51
119,US-2012-136476,4/5/2012,4/10/2012,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Bristol,Tennessee,37620,South,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,$525.98,1,0.7,$368.19,$157.79,-$115.72,$157.79
120,CA-2013-103730,6/13/2013,6/16/2013,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,$15.68,3,0,$0.00,$47.04,$18.35,$15.68
125,US-2011-152030,12/26/2011,12/28/2011,Second Class,AD-10180,Alan Dominguez,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,$285.98,3,0.3,$85.79,$600.56,-$8.58,$200.19
126,US-2011-134614,9/20/2011,9/25/2011,Standard Class,PF-19165,Philip Fox,Consumer,United States,Bloomington,Illinois,61701,Central,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,$205.90,6,0.5,$102.95,$617.70,-$407.68,$102.95
127,US-2014-107272,11/6/2014,11/13/2014,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,85023,West,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",$3.98,2,0.7,$2.79,$2.39,-$1.83,$1.19
